id,title,seller_id,price,currency_id,initial_quantity,available_quantity,sold_quantity,condition,date_created,last_updated,start_time,stop_time
MLA1124556559,Xiaomi Mi Tv Stick Full Hd Chromecast Android Amazon Netflix,472182447,48385.12,ARS,70,1,25,new,2022-02-22T14:37:26.000Z,2023-08-04T23:03:38.000Z,2022-02-22T14:37:26.000Z,2042-02-17T04:00:00.000Z
MLA1346059507,Google Chromecast Con Google Tv 1080p Full Hd 8gb Control,86898163,37990.0,ARS,236,50,150,new,2023-02-14T20:47:16.000Z,2023-08-05T23:04:03.000Z,2023-02-14T20:47:16.000Z,2043-02-09T04:00:00.000Z
MLA1346263508,Chromecast Ga03131 Google Tv Hd Full Hd 8gb Control Remoto,82274172,37990.0,ARS,286,100,150,new,2023-02-14T20:42:07.000Z,2023-08-04T19:36:03.000Z,2023-02-14T20:42:07.000Z,2043-02-09T04:00:00.000Z
MLA886510335,Google Chromecast Con Google Tv 4k Hdmi Streaming Android Tv,119914491,79999.0,ARS,3088,1001,555,new,2020-11-02T20:16:28.000Z,2023-08-01T17:33:21.120Z,2020-11-02T20:16:28.000Z,2040-10-28T04:00:00.000Z
MLA1361590843,Chromecast Google Tv Hd 8gb Blanco C/ Remoto Smart Tv,162981803,40250.0,ARS,33,1,5,new,2023-03-06T17:27:41.000Z,2023-08-03T21:29:30.000Z,2023-03-06T17:27:41.000Z,2043-03-01T04:00:00.000Z
MLA885133507,Chromecast Smart Tv Netflix Google Tv 4k Hdr Control Remoto,9198894,49499.0,ARS,2731,1,500,new,2020-10-23T17:11:28.000Z,2023-08-05T22:30:51.000Z,2020-10-23T17:11:27.000Z,2040-10-18T04:00:00.000Z
MLA1310542245,Chromecast Hd Google Tv Control Voz Bluetooth Wifi Hdmi ,114179423,39990.0,ARS,43,1,25,new,2023-01-13T15:38:39.000Z,2023-08-05T16:45:33.000Z,2023-01-13T15:38:38.000Z,2043-01-08T04:00:00.000Z
MLA1324508604,Chromecast Google Ga03131 Tv Hd 8gb Blanco Control,61852079,37990.0,ARS,611,250,100,new,2023-01-28T15:12:15.000Z,2023-08-06T01:32:05.000Z,2023-01-28T15:12:15.000Z,2043-01-23T04:00:00.000Z
MLA1402302230,Chromecast Google 4ta Generación Tv 1080p Hd 8gb Con Control,224121610,42205.0,ARS,10,1,5,new,2023-04-22T17:54:12.000Z,2023-08-06T01:29:19.000Z,2023-04-22T17:54:12.000Z,2043-04-17T04:00:00.000Z
MLA1123871200,Google Chromecast 4k + Control Remoto Blanco Con Google Tv,204184123,66195.0,ARS,13,1,5,new,2022-02-16T20:06:12.000Z,2023-08-04T17:22:35.132Z,2022-02-16T20:06:12.000Z,2042-02-11T04:00:00.000Z
